,index,candi_key,corr_by_lag,max_abs_corr,max_lag
0,311,다이어트,"[-0.6485324501402401, -0.6346195681432154, -0.6273756636759014, -0.6353676957169818, -0.6670428915148217, -0.6731766867451211, -0.6443251212422613, -0.616873601305589, -0.6007962478532726, -0.5840569488104559]",0.6731766867451211,6
1,523,페이스북,"[0.5981159235860986, 0.6031966568487955, 0.6071690494432583, 0.6048737657278785, 0.600684171766473, 0.6053998152123986, 0.6045027725648492, 0.5888452727651318, 0.5880398954829051, 0.576433817109561]",0.6071690494432583,3
2,356,스마트폰,"[-0.5752968420456287, -0.5753585551905948, -0.586433244584553, -0.5843716589529664, -0.5567450436018367, -0.526671449968016, -0.506064493673175, -0.49791614991859473, -0.4902075257587114, -0.5244123336003815]",0.586433244584553,3
3,340,강대국,"[-0.5172878349456117, -0.48963332431589823, -0.5319003527511416, -0.5582172629477966, -0.5456473686113008, -0.5694941422789803, -0.5526244187644666, -0.550270930376473, -0.5280641629947763, -0.5403972206584768]",0.5694941422789803,6
4,617,배터리,"[0.5175741550417428, 0.5076655334560257, 0.5031747672644079, 0.49755487841296947, 0.49301723155239396, 0.5122544680813126, 0.5261776717706189, 0.5599020823869562, 0.5112214806675757, 0.47776191506866694]",0.5599020823869562,8
5,370,싱가포르,"[0.5566895538459978, 0.5001992064856484, 0.3358257936944452, 0.33416178033304444, 0.34379944051234834, 0.3447324556201545, 0.5324762839034586, 0.5239164070360748, 0.31020022236260986, 0.2930311382281544]",0.5566895538459978,1
6,535,창업,"[-0.5490531114015159, -0.5059489579279706, -0.4795176353350999, -0.5055042953521391, -0.5454307602585149, -0.5378732067223342, -0.5247460315942725, -0.48069979076172153, -0.4304154937978617, -0.47865577483852356]",0.5490531114015159,1
7,335,증권,"[-0.3960524754274553, -0.30123643345680257, -0.33309034778006313, -0.3559254958344346, -0.33354308083840195, -0.3947797337138093, -0.545466081400474, -0.35477252998560627, -0.2993026306048026, -0.3277363925062528]",0.545466081400474,7
8,409,유가,"[-0.5168114051756698, -0.4904402897679386, -0.48219311445203034, -0.4774327207602223, -0.45873491623174684, -0.5082689323397942, -0.5423971747441363, -0.46414967006817504, -0.45812728273533715, -0.4626293357091658]",0.5423971747441363,7
9,429,중국 주식,"[-0.47897041859089917, -0.4074367172497601, -0.4257716349567213, -0.4442014206084207, -0.44166442609851864, -0.4662561613433242, -0.5230007922310778, -0.4626146917798238, -0.4276774007411183, -0.43863809192312986]",0.5230007922310778,7
