,index,candi_key,corr_by_lag,max_abs_corr,max_lag
0,523,페이스북,"[0.7909945049776399, 0.779136742174666, 0.7647347418406277, 0.7609844610872427, 0.7634663724056008, 0.802026063678471, 0.8397792177047415, 0.7779487313889327, 0.7717846735269003, 0.7595495972964205]",0.8397792177047415,7
1,529,클라우드,"[0.7954348352273474, 0.7319071220449467, 0.7404420869473644, 0.7481471879035234, 0.7503440202620466, 0.7681911987827575, 0.8360668067877224, 0.7833589508228167, 0.7308325892538597, 0.7457276468149501]",0.8360668067877224,7
2,311,다이어트,"[0.761271122708993, 0.6706519597959376, 0.6347469635898706, 0.6353348952772424, 0.668839071112763, 0.6527842375406935, 0.6630706549651886, 0.7002165685238748, 0.6215717086119662, 0.5831748358030857]",0.761271122708993,1
3,188,페인트칠,"[0.7597432924620297, 0.7404657133847655, 0.7328018286614184, 0.7222223398837649, 0.7375371645579583, 0.7417495135809407, 0.738210357967318, 0.7171492468976237, 0.710871090867504, 0.7167976012374279]",0.7597432924620297,1
4,312,주가지수선물,"[-0.6356780063575738, -0.5519333782734396, -0.5496957046086731, -0.5396642447128301, -0.5445755928252721, -0.665163665368782, -0.7435395172607803, -0.6210689954649729, -0.5510388679332681, -0.5483524689864882]",0.7435395172607803,7
5,42,동화면세점,"[0.7229294376686315, 0.6570932386874416, 0.6542724525554371, 0.6533187251578205, 0.6653224934080264, 0.7012454380116253, 0.7357408305199732, 0.6824517074558438, 0.6386292127122767, 0.6414618170021471]",0.7357408305199732,7
6,55,전세차,"[-0.4861422026885909, -0.7273952557647915, -0.6544525652437175, -0.41847668766642465, -0.41518628134834307, -0.4303732546307177, -0.4523921458436558, -0.46841957230284303, -0.7291913432922036, -0.6460354754277596]",0.7291913432922036,9
7,533,아이템,"[-0.6807527223153038, -0.6746636664260574, -0.666661129238127, -0.713364376448844, -0.7125565270344791, -0.6546915850669806, -0.6732216077285654, -0.6703031048054708, -0.6522197500153231, -0.6427346579768213]",0.713364376448844,4
8,176,자동차,"[0.7040651601049324, 0.6951715137278569, 0.6790219410390069, 0.6932943575072563, 0.6698760364378772, 0.6571999882290854, 0.6466381894767483, 0.6699656569738187, 0.6847493590553282, 0.6757572122598208]",0.7040651601049324,1
9,646,소비자물가지수,"[-0.6363066824304606, -0.577982611254786, -0.5681764907032243, -0.5609150862179005, -0.5170114159008335, -0.5731976336647187, -0.6877418102859902, -0.6253466280496526, -0.5534487921264831, -0.606420309799757]",0.6877418102859902,7
