,index,candi_key,corr_by_lag,max_abs_corr,max_lag
0,55,전세차,"[-0.578737943354952, -0.5586167276493921, -0.5454552524631532, -0.6316512875657457, -0.6236991172922499, -0.5180694381363113, -0.5214640175139816, -0.509209458225202, -0.5599866940538378, -0.5323805517804491]",0.6316512875657457,4
1,162,배당금,"[0.6048600437339487, 0.5198141746852699, 0.5306610679039391, 0.5405992732784899, 0.5191630079967382, 0.5465414436186454, 0.5993587946752676, 0.5124836300228298, 0.4512972665966391, 0.5032058228214602]",0.6048600437339487,1
2,495,크래프트,"[-0.5646528152012182, -0.5243503197851022, -0.5048114553905606, -0.5054631284842954, -0.4986400170270586, -0.5036943188412987, -0.5792896618665442, -0.5857404245815171, -0.5643122971527722, -0.5548924462220768]",0.5857404245815171,8
3,799,편의점,"[-0.48748805205597223, -0.3477086075793238, -0.36322004590872364, -0.39449082567083615, -0.37762405026440526, -0.36868564825438827, -0.5474175422385116, -0.5211626009122218, -0.39592507610696887, -0.40268388092061513]",0.5474175422385116,7
4,594,잉여금,"[0.4092308936117061, 0.3450703951506268, 0.35866959354702493, 0.38329502361639084, 0.3699912179174957, 0.4319950739191256, 0.5456502251573718, 0.42341019266294905, 0.3828834081844463, 0.4011386862877062]",0.5456502251573718,7
5,755,환율,"[-0.3860393607525353, -0.3388563018113809, -0.31770163608511326, -0.30401743310426144, -0.32094149839576974, -0.39685783689530874, -0.5309933166528901, -0.3461455553974443, -0.29608505838266863, -0.29437294373101475]",0.5309933166528901,7
6,218,후지필름,"[0.5181429203983836, 0.5027476540918034, 0.5043403682375727, 0.5120537066855951, 0.5077061531161088, 0.48816113310762604, 0.5048568495231905, 0.5257735215134685, 0.5119370424714026, 0.5174561551111262]",0.5257735215134685,8
7,773,주가지수,"[-0.3814851990557796, -0.32130636242422916, -0.31024676629055914, -0.300092895120207, -0.3109190080468945, -0.38641265387546747, -0.5220483936793261, -0.3445212701208464, -0.28681557647879125, -0.2841002981103669]",0.5220483936793261,7
8,234,학생,"[0.4052270319448993, 0.34760140178254806, 0.35598721098126473, 0.3604905474401647, 0.37701158527655976, 0.38975132957086356, 0.517169889425711, 0.5028483336786574, 0.3995188958394698, 0.3954131907552053]",0.517169889425711,7
9,142,달러,"[-0.43251636931833515, -0.3943398027930162, -0.38398503143001816, -0.37105963400068953, -0.3971566404749161, -0.4409013005647567, -0.516554779491075, -0.39400705247067996, -0.3502891843258084, -0.35403825154579643]",0.516554779491075,7
