,index,candi_key,corr_by_lag,max_abs_corr,max_lag
0,52,조리,"[0.7478464105325912, 0.7417937888205289, 0.7439416673927566, 0.7504271188141207, 0.7851562056418016, 0.7819215456888673, 0.7467959413474112, 0.7594210725810189, 0.7610555852515708, 0.7552205144219353]",0.7851562056418016,5
1,359,마스크,"[0.7521197166545733, 0.7086925753184107, 0.7151805329334703, 0.7215580839806848, 0.7129223842343789, 0.6977545506443782, 0.715350714722302, 0.7121867771456595, 0.6825262937666576, 0.6943302546863644]",0.7521197166545733,1
2,77,시스템,"[-0.6719066803205356, -0.6848280651157447, -0.6312728032746195, -0.5874106176248945, -0.5628371273528513, -0.5465802984772858, -0.5453419697447578, -0.5849683806812296, -0.5830065297634773, -0.5368843756257511]",0.6848280651157447,2
3,571,시리즈,"[-0.5951093913994032, -0.6184755314340497, -0.654505687228006, -0.6503336486206813, -0.6014264484640514, -0.5760616301490402, -0.5909173746039498, -0.6194320370093526, -0.6330813332141633, -0.6493867124687217]",0.654505687228006,3
4,697,천연가스,"[-0.5132093081151496, -0.4867905272934459, -0.49718732390995984, -0.5350643930442646, -0.5231212778576538, -0.5560754351325176, -0.5734818082440392, -0.5440389920496478, -0.506167178357752, -0.49174415417371226]",0.5734818082440392,7
5,637,전기차,"[-0.5194173129810215, -0.5445264628646372, -0.43338669403933766, -0.418056120622672, -0.4467760233997789, -0.47850042322751757, -0.5148439021784258, -0.5611325235835587, -0.5663191573093936, -0.5095016819149801]",0.5663191573093936,9
6,627,마운틴뷰,"[0.5565919995918831, 0.5656777624854697, 0.5058279890411216, 0.5002564796842666, 0.4908943185686815, 0.46822535652958397, 0.44078131088284483, 0.4768411711046188, 0.49094383766144334, 0.4419366274964966]",0.5656777624854697,2
7,515,삼성시계,"[0.5479265716776829, 0.5036882909193806, 0.48863299097610974, 0.48306540034090745, 0.4804502892238631, 0.4814941168021435, 0.49757877865419947, 0.4920538187226881, 0.48575372624379326, 0.4621870870739832]",0.5479265716776829,1
8,724,마르크,"[-0.45541145483024426, -0.4737261945114371, -0.48863317430650927, -0.5029436714216309, -0.48772817087973774, -0.44868685141302855, -0.47008739373343494, -0.5223151891856748, -0.5458962517783008, -0.5386215326471758]",0.5458962517783008,9
9,69,공급망,"[-0.5333034355814993, -0.4872090733368471, -0.493091957955153, -0.5042201871703417, -0.5271804909914758, -0.526978800792576, -0.5436710365500069, -0.5081373502362335, -0.46402282652291255, -0.47052787499478604]",0.5436710365500069,7
