,index,candi_key,corr_by_lag,max_abs_corr,max_lag
0,370,싱가포르,"[-0.8677343700830916, -0.8556153675504816, -0.8500585397306962, -0.8459980975465488, -0.8456653973374383, -0.8315690556213188, -0.8439816623434221, -0.8466120844339557, -0.8202940542400335, -0.8017219092028138]",0.8677343700830916,1
1,523,페이스북,"[0.8384258174939248, 0.8368427745431088, 0.8340963616591014, 0.8270211847622885, 0.8355279067706692, 0.8411047934466997, 0.8507181689526817, 0.8469201902967676, 0.8456600408480878, 0.8374943172335513]",0.8507181689526817,7
2,300,인수,"[0.7194053066274262, 0.6395323758115667, 0.6274726257514044, 0.645805334055637, 0.6465294355351312, 0.690182583897508, 0.7806380823234398, 0.7042353355572738, 0.618408917026317, 0.6174710993113262]",0.7806380823234398,7
3,26,투자,"[0.7449871852530503, 0.7034547141615466, 0.7064454522826723, 0.6968255418009703, 0.7137731154267077, 0.7049505022137798, 0.7214969622666623, 0.7055480263237922, 0.6493236490184575, 0.6231245082232711]",0.7449871852530503,1
4,537,메타버스,"[0.7236000582995143, 0.7266207847631813, 0.7294362248440688, 0.7195473959267394, 0.7185012509699888, 0.7227805809917377, 0.73887994683545, 0.7307954079205772, 0.7381431082673947, 0.7347107887826202]",0.73887994683545,7
5,511,사회적거리두기,"[0.7109900963343144, 0.7382703191506345, 0.5603602958381317, 0.5783433793721556, 0.5770107456834327, 0.5747481667109123, 0.5793737411904157, 0.7180581677884444, 0.7242197841468082, 0.5326831955269044]",0.7382703191506345,2
6,415,코로나19,"[0.6382231064362258, 0.6531345581151677, 0.7038087199021198, 0.6854009919940999, 0.6600294555901797, 0.67144515852752, 0.6886365658106026, 0.6763443106099662, 0.6900445900209087, 0.7342416627693813]",0.7342416627693813,10
7,571,시리즈,"[-0.7319820908213857, -0.7138676873214175, -0.7003423916802969, -0.6917189445106777, -0.6856461866623361, -0.7012066189692808, -0.7172090789748639, -0.7007377222638504, -0.684228529199929, -0.6689372645901898]",0.7319820908213857,1
8,42,동화면세점,"[-0.7195751240790756, -0.719392859210992, -0.705648991696092, -0.6740893953907057, -0.6970378080215652, -0.7252202485067508, -0.723624945418978, -0.7167424491652123, -0.7122469663355362, -0.6925610943335336]",0.7252202485067508,6
9,339,질병관리본부,"[0.6537987732899435, 0.6332613439028487, 0.6345419568214942, 0.6462304397020309, 0.6589012828803228, 0.6809770317877747, 0.7171620433535025, 0.6887342459024924, 0.6749094776400031, 0.6750716880122873]",0.7171620433535025,7
