,index,candi_key,corr_by_lag,max_abs_corr,max_lag
0,523,페이스북,"[-0.7774036069773023, -0.7598359108093382, -0.7699110267025494, -0.7629407297128381, -0.7635434291264304, -0.7612837230318983, -0.7893115599568735, -0.7840574970790779, -0.779775319517021, -0.795049574274549]",0.795049574274549,10
1,311,다이어트,"[-0.785435387768097, -0.6922056295782012, -0.6539288473250063, -0.6777045418864082, -0.719767174707811, -0.7039323071881095, -0.6920935952977177, -0.7205830745523283, -0.6399836108640685, -0.619551515924743]",0.785435387768097,1
2,366,금리인상,"[0.7332077161518388, 0.7224928135830389, 0.731405649393841, 0.7209058315835241, 0.7088676209092575, 0.7179146206489746, 0.7321954780851185, 0.7283447694779033, 0.733573566785002, 0.7325143545441547]",0.733573566785002,9
3,736,전기난로,"[0.642376422485175, 0.6419439206392054, 0.6487149815535516, 0.644138697065309, 0.6274849847474722, 0.6240987584756702, 0.643790495253967, 0.641102592573668, 0.647123199055821, 0.6569541482527741]",0.6569541482527741,10
4,551,외국인순매수,"[-0.6451389026968577, -0.6010417640790746, -0.6103374513594032, -0.617576149633967, -0.5906960281902626, -0.6163007446534403, -0.642142865309924, -0.5862019173848665, -0.5433756517799395, -0.5492471899643754]",0.6451389026968577,1
5,559,원자재,"[-0.5543753236951613, -0.5319185985406932, -0.5644693309752301, -0.5617108280753011, -0.5338058274445064, -0.5910558428267949, -0.633507947860612, -0.5460655164617073, -0.5550558612601377, -0.5766813865058373]",0.633507947860612,7
6,493,무기,"[-0.588529273351306, -0.5281899006122868, -0.5641851881904644, -0.5661693135282277, -0.535021065363306, -0.5456765816667528, -0.6191166595721176, -0.5881604494153639, -0.5377091424990565, -0.5542080427461227]",0.6191166595721176,7
7,183,다음,"[-0.3738828228228454, -0.3203446928381869, -0.37395823892692726, -0.37371304639493264, -0.3497130142855486, -0.4051628431423562, -0.6045276456104451, -0.38339892210408694, -0.34011517785457634, -0.3875918213378909]",0.6045276456104451,7
8,38,플레이어,"[-0.5736697681594952, -0.4344714085887278, -0.4259454795493814, -0.417804827495444, -0.41500773378145117, -0.4212937622077803, -0.6015016523776785, -0.6042218998852895, -0.4570590942724994, -0.44166298118873487]",0.6042218998852895,8
9,790,다우,"[-0.5206067933824975, -0.5387443118468359, -0.5262644949493386, -0.5051666507303743, -0.5088695361907132, -0.5982756761763214, -0.5656824609961492, -0.4707462860140438, -0.48213298881950883, -0.47291496954084844]",0.5982756761763214,6
