,index,candi_key,corr_by_lag,max_abs_corr,max_lag
0,529,클라우드,"[0.7755460998730511, 0.7064365721067519, 0.7100295628245566, 0.721053284284702, 0.7284733699996674, 0.7517743747982767, 0.8231966413384537, 0.7462739566401216, 0.6905992102475851, 0.7004752311558744]",0.8231966413384537,7
1,311,다이어트,"[-0.7743385928710625, -0.6590186328625094, -0.6062009683263068, -0.6021294696361364, -0.6364791638686699, -0.6148237767429243, -0.623670175987308, -0.6926135825074499, -0.5823116994587086, -0.523514200657593]",0.7743385928710625,1
2,129,S&P 500,"[-0.570474835002197, -0.4811839843519007, -0.48974444455975036, -0.4882121954127857, -0.4903385231706001, -0.6408466328454374, -0.7651050552055708, -0.5511206465784713, -0.4481104397287708, -0.4547561626642831]",0.7651050552055708,7
3,38,플레이어,"[-0.7632024714776231, -0.6818706451105995, -0.6301833755968789, -0.634519652875188, -0.6571739400754103, -0.6338919088493822, -0.6499828948884837, -0.7402770606518196, -0.6631794647433525, -0.6096728187369623]",0.7632024714776231,1
4,175,내부자,"[-0.7431139520745046, -0.7432864693585916, -0.7315051853717827, -0.7173287792441615, -0.716751480178162, -0.7193985137455485, -0.7138653793167801, -0.7185620257212504, -0.7243485426908657, -0.6928560671692603]",0.7432864693585916,2
5,641,검,"[-0.6990740871131618, -0.6846905046257236, -0.6780259275531177, -0.6735441479451366, -0.6799896444324741, -0.7139324052053672, -0.7355455489213262, -0.7031455747169683, -0.6992688012100616, -0.686030668807838]",0.7355455489213262,7
6,815,프리우스,"[-0.6599015371391923, -0.7332055247852052, -0.6388121730972487, -0.6447758478108058, -0.6224626494347847, -0.634535297602587, -0.669269626019427, -0.6098067647724068, -0.5957933837479141, -0.5779796224125632]",0.7332055247852052,2
7,429,중국 주식,"[0.6575082569167628, 0.5870185378671343, 0.5640638790109432, 0.5525758302056862, 0.5473078074072328, 0.6208640159285298, 0.7227411103654354, 0.6222356265743427, 0.5591517729096198, 0.5446626445785046]",0.7227411103654354,7
8,4,수동변속기,"[-0.6636388293438088, -0.6427744784946435, -0.655274402576283, -0.6501421771758004, -0.6344220061773901, -0.6244707954459592, -0.6563116348851331, -0.6728602170388166, -0.656104489985494, -0.7040608411131124]",0.7040608411131124,10
9,356,스마트폰,"[-0.6737718846813253, -0.6592692742173899, -0.6396737823718996, -0.6413922382846129, -0.6533235851707472, -0.6505091163495873, -0.6684293550560808, -0.6995905598809036, -0.7022826706783123, -0.6714954781940682]",0.7022826706783123,9
